Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=ASHP, SEER 10, 6.2 HSPF	Option=ASHP, SEER 13, 7.7 HSPF	Option=ASHP, SEER 15, 8.5 HSPF	resstock_probability
CR02	1990s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.0068279009819344726
CR02	1990s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.001182265975069071
CR02	1990s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	8.281600000000003e-05
CR02	1990s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0006801574560000003
CR02	2000s	Electricity	Yes	Neither Shared	0.0	0.179837	0.7426689999999999	0.07749400000000001	0.003073823152945393
CR02	2000s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	2.8088287799860454e-05
CR02	2000s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.004086125305842687
CR02	2000s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0011698597567201402
CR02	2000s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	8.281600000000003e-05
CR02	2000s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0008495351408640004
CR02	2010s	Electricity	Yes	Neither Shared	0.0	0.179837	0.7426689999999999	0.07749400000000001	0.003073823152945393
CR02	2010s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	2.8088287799860454e-05
CR02	2010s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.004086125305842687
CR02	2010s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0011698597567201402
CR02	2010s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	8.281600000000003e-05
CR02	2010s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0008495351408640004
CR03	<1940	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.00034147620223964464
CR03	<1940	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.006220704596800358
CR03	<1940	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0009572913669341472
CR03	<1940	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	6.339210761600002e-05
CR03	<1940	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0009470942108160004
CR03	1940s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0006829524044792894
CR03	1940s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.01244140919360072
CR03	1940s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0019145827338682944
CR03	1940s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	0.00012678421523200004
CR03	1940s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0018941884216320004
CR03	1950s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.0069968236069200005
CR03	1950s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0010124738740080006
CR03	1950s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	0.00010352000000000004
CR03	1950s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0012422400000000006
CR03	1960s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1960s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1960s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1960s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1960s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1960s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1960s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.0069012917862000004
CR03	1960s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1960s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0010147012461360005
CR03	1960s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1960s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	9.024712108800002e-05
CR03	1960s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0009937920000000003
CR03	1970s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1970s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1970s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1970s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1970s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1970s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1970s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.006973075533720001
CR03	1970s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1970s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0011229691954095244
CR03	1970s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1970s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	8.634000713600002e-05
CR03	1970s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0009109760828160003
CR03	1980s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.00030328254337139317
CR03	1980s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1980s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	3.0924709530713274e-05
CR03	1980s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1980s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1980s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1980s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.00677267329926861
CR03	1980s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1980s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0010945924520180303
CR03	1980s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1980s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	8.962092860800002e-05
CR03	1980s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0010899190156800004
CR03	1990s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1990s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1990s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1990s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1990s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1990s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1990s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.007257262397136244
CR03	1990s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1990s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0011942044368240005
CR03	1990s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1990s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	8.281600000000003e-05
CR03	1990s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0006801574560000003
CR03	2000s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2000s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2000s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	5.819631600278163e-05
CR03	2000s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2000s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2000s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2000s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.00715994845878808
CR03	2000s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2000s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.001139751728517219
CR03	2000s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2000s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	8.281600000000003e-05
CR03	2000s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0008495351408640004
CR03	2010s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2010s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2010s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	5.819631600278163e-05
CR03	2010s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2010s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2010s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2010s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.00715994845878808
CR03	2010s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2010s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.001139751728517219
CR03	2010s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	2010s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	8.281600000000003e-05
CR03	2010s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0008495351408640004
CR04	<1940	Electricity	Yes	Neither Shared	0.0	0.179837	0.7426689999999999	0.07749400000000001	0.0011869475763879587
CR04	<1940	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	<1940	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	1.0161647860005971e-05
CR04	<1940	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	<1940	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	<1940	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	<1940	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.005375233222652044
CR04	<1940	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	<1940	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0009471297190741412
CR04	<1940	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	<1940	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	6.339210761600002e-05
CR04	<1940	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0009470942108160004
CR04	1940s	Electricity	Yes	Neither Shared	0.0	0.179837	0.7426689999999999	0.07749400000000001	0.0023738951527759178
CR04	1940s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1940s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	2.0323295720011943e-05
CR04	1940s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1940s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1940s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1940s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.01075046644530409
CR04	1940s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1940s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0018942594381482823
CR04	1940s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1940s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	0.00012678421523200004
CR04	1940s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0018941884216320004
CR04	1950s	Electricity	Yes	Neither Shared	0.0	0.183847	0.7003159999999999	0.115837	0.0013982662200777137
CR04	1950s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1950s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1950s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1950s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1950s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1950s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.005598557386842287
CR04	1950s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1950s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0010124738740080006
CR04	1950s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1950s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	0.00010352000000000004
CR04	1950s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0012422400000000006
CR04	1960s	Electricity	Yes	Neither Shared	0.0	0.289154	0.643875	0.066971	0.0002408067742958766
CR04	1960s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1960s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	4.5262778486388574e-05
CR04	1960s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1960s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1960s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1960s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.006660485011904124
CR04	1960s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1960s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0009694384676496119
CR04	1960s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1960s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	9.024712108800002e-05
CR04	1960s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0009937920000000003
CR04	1970s	Electricity	Yes	Neither Shared	0.0	0.281641	0.659303	0.059054999999999996	0.0009606527239784696
CR04	1970s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1970s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	1.0781627245126845e-05
CR04	1970s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1970s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1970s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1970s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.0060124228097415315
CR04	1970s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1970s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0011121875681643976
CR04	1970s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1970s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	8.634000713600002e-05
CR04	1970s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0009109760828160003
CR04	1980s	Electricity	Yes	Neither Shared	0.0	0.32664899999999997	0.605532	0.067819	0.0019006371191123183
CR04	1980s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1980s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	2.029645097420849e-05
CR04	1980s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1980s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1980s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1980s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.005175318723527685
CR04	1980s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1980s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.001105220710574535
CR04	1980s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR04	1980s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	8.962092860800002e-05
CR04	1980s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0010899190156800004
CR04	1990s	Electricity	Yes	Neither Shared	0.0	0.220813	0.695437	0.08375	0.0006673125346790748
CR04	1990s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
