Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Shared	Option=No	Option=Yes	Count	Weight	resstock_probability
CR02	1960s	None	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	None	Neither Shared	1.0	0.0	1.0	5675.9873210000005	0.0
CR02	1960s	None	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	None	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Other Fuel	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Other Fuel	Neither Shared	1.0	0.0	3.0	23909.61916	9.024712108800002e-05
CR02	1960s	Other Fuel	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Other Fuel	Only Heating Shared	1.0	0.0	0.0	0.0	1.3272878912e-05
CR02	1960s	Propane	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Propane	Neither Shared	1.0	0.0	4.0	35164.87961	0.0009937920000000005
CR02	1960s	Propane	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Propane	Only Heating Shared	1.0	0.0	0.0	0.0	0.0002484480000000001
CR02	1970s	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.00013830930900000002
CR02	1970s	Electricity	Neither Shared	0.899329	0.10067100000000001	29.0	186514.2269	0.006973075533720001
CR02	1970s	Electricity	Only Cooling Shared	1.0	0.0	2.0	11100.27053	5.826901536e-05
CR02	1970s	Electricity	Only Heating Shared	1.0	0.0	5.0	30518.124639999998	0.00020094614192
CR02	1970s	Fuel Oil	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1970s	Fuel Oil	Neither Shared	1.0	0.0	4.0	23089.46157	0.0
CR02	1970s	Fuel Oil	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1970s	Fuel Oil	Only Heating Shared	1.0	0.0	1.0	5620.543436	0.0
CR02	1970s	Natural Gas	Both Shared	1.0	0.0	0.0	0.0	2.1851125140853007e-05
CR02	1970s	Natural Gas	Neither Shared	0.957591	0.042408999999999995	96.0	610178.0137	0.0011229691954095244
CR02	1970s	Natural Gas	Only Cooling Shared	1.0	0.0	0.0	0.0	4.165150906844929e-06
CR02	1970s	Natural Gas	Only Heating Shared	1.0	0.0	10.0	69593.09808	0.0001346540150870346
CR02	1970s	None	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1970s	None	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1970s	None	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1970s	None	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	1970s	Other Fuel	Both Shared	1.0	0.0	0.0	0.0	1.1177012992e-05
CR02	1970s	Other Fuel	Neither Shared	1.0	0.0	4.0	34181.63758	8.634000713600003e-05
CR02	1970s	Other Fuel	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1970s	Other Fuel	Only Heating Shared	1.0	0.0	0.0	0.0	6.002979872000001e-06
CR02	1970s	Propane	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1970s	Propane	Neither Shared	1.0	0.0	16.0	120005.1818	0.0009109760828160004
CR02	1970s	Propane	Only Cooling Shared	1.0	0.0	0.0	0.0	8.281591718400004e-05
CR02	1970s	Propane	Only Heating Shared	1.0	0.0	1.0	8316.769081999999	0.0002484480000000001
CR02	1980s	Electricity	Both Shared	1.0	0.0	0.0	0.0	4.6961040840000015e-05
CR02	1980s	Electricity	Neither Shared	0.945859	0.054140999999999995	18.0	111085.0095	0.007075955842640003
CR02	1980s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	4.406144680000002e-05
CR02	1980s	Electricity	Only Heating Shared	1.0	0.0	1.0	10368.712609999999	0.00020362166972000005
CR02	1980s	Fuel Oil	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Fuel Oil	Neither Shared	1.0	0.0	3.0	23959.9372	0.0
CR02	1980s	Fuel Oil	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Fuel Oil	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Natural Gas	Both Shared	1.0	0.0	4.0	29628.08489	4.5212351015546585e-05
CR02	1980s	Natural Gas	Neither Shared	0.989949	0.010051000000000001	68.0	417268.2925	0.0011255171615487435
CR02	1980s	Natural Gas	Only Cooling Shared	1.0	0.0	0.0	0.0	4.863455232000001e-06
CR02	1980s	Natural Gas	Only Heating Shared	1.0	0.0	8.0	52385.59506	0.00010804600529222368
CR02	1980s	None	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	None	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	None	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	None	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Other Fuel	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Other Fuel	Neither Shared	1.0	0.0	4.0	23014.72928	8.962092860800002e-05
CR02	1980s	Other Fuel	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Other Fuel	Only Heating Shared	1.0	0.0	1.0	8080.942370000001	1.3899071392e-05
CR02	1980s	Propane	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Propane	Neither Shared	1.0	0.0	13.0	90714.62427	0.0010899190156800004
CR02	1980s	Propane	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Propane	Only Heating Shared	1.0	0.0	1.0	6534.735311	0.00015232098432000003
CR02	1990s	Electricity	Both Shared	1.0	0.0	0.0	0.0	4.865770430224705e-05
CR02	1990s	Electricity	Neither Shared	0.940837	0.059163	12.0	74184.56018	0.0072572623971362445
CR02	1990s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	6.77062638936684e-06
CR02	1990s	Electricity	Only Heating Shared	1.0	0.0	2.0	24610.968569999997	5.7906323933618154e-05
CR02	1990s	Fuel Oil	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Fuel Oil	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Fuel Oil	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Fuel Oil	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Natural Gas	Both Shared	1.0	0.0	0.0	0.0	1.8824837328000008e-05
CR02	1990s	Natural Gas	Neither Shared	0.9900030000000001	0.009997	72.0	411848.8005	0.0011942044368240005
CR02	1990s	Natural Gas	Only Cooling Shared	1.0	0.0	0.0	0.0	2.0136974136000013e-05
CR02	1990s	Natural Gas	Only Heating Shared	1.0	0.0	5.0	40563.318060000005	5.0473751712000016e-05
CR02	1990s	None	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	None	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	None	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	None	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Other Fuel	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Other Fuel	Neither Shared	1.0	0.0	2.0	13518.888519999999	8.281600000000003e-05
CR02	1990s	Other Fuel	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Other Fuel	Only Heating Shared	1.0	0.0	1.0	6374.842753	2.0704000000000007e-05
