Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=FIXME Room AC, EER 8.5, 20% Conditioned	Option=FIXME Room AC, EER 10.7, 20% Conditioned	resstock_probability
CR02	1940s	Electricity	No	Neither Shared	0.300977	0.022413	0.180051	0.12128399999999999	0.020699000000000002	0.118192	0.23638299999999998	0.011140338730936656
CR02	1940s	Fuel Oil	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0
CR02	1940s	Natural Gas	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.001878889167960788
CR02	1940s	None	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0
CR02	1940s	Other Fuel	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.00012678421523200004
CR02	1940s	Propane	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0017792130786273596
CR02	1940s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001984022867143353
CR02	1940s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.569356590750661e-05
CR02	1940s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011497534300464079
CR02	1940s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	9.978907928000003e-05
CR02	1940s	Fuel Oil	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Natural Gas	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6200770880000025e-06
CR02	1940s	None	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Other Fuel	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Propane	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Electricity	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Fuel Oil	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Natural Gas	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	None	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Other Fuel	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Electricity	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002205548861600001
CR02	1940s	Fuel Oil	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Natural Gas	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8143278587853675e-05
CR02	1940s	None	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Other Fuel	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Propane	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Electricity	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Electricity	No	Only Heating Shared	0.20714000000000002	0.051712	0.305757	0.188186	0.030733	0.072157	0.144314	0.0002754481667200001
CR02	1950s	Fuel Oil	No	Only Heating Shared	0.186421	0.055514	0.328234	0.20202	0.032992	0.06494	0.129879	0.0
CR02	1950s	Natural Gas	No	Only Heating Shared	0.186421	0.055514	0.328234	0.20202	0.032992	0.06494	0.129879	0.0002416062073440001
CR02	1950s	None	No	Only Heating Shared	0.186421	0.055514	0.328234	0.20202	0.032992	0.06494	0.129879	0.0
CR02	1950s	Other Fuel	No	Only Heating Shared	0.186421	0.055514	0.328234	0.20202	0.032992	0.06494	0.129879	0.0
CR02	1950s	Propane	No	Only Heating Shared	0.186421	0.055514	0.328234	0.20202	0.032992	0.06494	0.129879	0.0
