Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Option=None	resstock_probability
CR03	1950s	Other Fuel	Yes	1.0	0.0
CR03	1950s	Electricity	No	1.0	0.007370600000000001
CR03	1950s	Electricity	Yes	1.0	0.0
CR03	1950s	Fuel Oil	No	1.0	0.0
CR03	1950s	Fuel Oil	Yes	1.0	0.0
CR03	1950s	Natural Gas	No	1.0	0.0012836400000000008
CR03	1950s	Natural Gas	Yes	1.0	0.0
CR03	1950s	Propane	No	1.0	0.0012422400000000006
CR03	1950s	Propane	Yes	1.0	0.0
CR03	1960s	None	No	1.0	0.0
CR03	1960s	None	Yes	1.0	0.0
CR03	1960s	Other Fuel	No	1.0	0.00010352000000000003
CR03	1960s	Other Fuel	Yes	1.0	0.0
CR03	1960s	Electricity	No	1.0	0.0073706000000000015
CR03	1960s	Electricity	Yes	1.0	0.0
CR03	1960s	Fuel Oil	No	1.0	0.0
CR03	1960s	Fuel Oil	Yes	1.0	0.0
CR03	1960s	Natural Gas	No	1.0	0.0012836400000000006
CR03	1960s	Natural Gas	Yes	1.0	0.0
CR03	1960s	Propane	No	1.0	0.0012422400000000004
CR03	1960s	Propane	Yes	1.0	0.0
CR03	1970s	None	No	1.0	0.0
CR03	1970s	None	Yes	1.0	0.0
CR03	1970s	Other Fuel	No	1.0	0.00010352000000000003
CR03	1970s	Other Fuel	Yes	1.0	0.0
CR03	1970s	Electricity	No	1.0	0.007370600000000001
CR03	1970s	Electricity	Yes	1.0	0.0
CR03	1970s	Fuel Oil	No	1.0	0.0
CR03	1970s	Fuel Oil	Yes	1.0	0.0
CR03	1970s	Natural Gas	No	1.0	0.001283639486544257
CR03	1970s	Natural Gas	Yes	1.0	0.0
CR03	1970s	Propane	No	1.0	0.0012422400000000004
CR03	1970s	Propane	Yes	1.0	0.0
CR03	1980s	None	No	1.0	0.0
CR03	1980s	None	Yes	1.0	0.0
CR03	1980s	Other Fuel	No	1.0	0.00010352000000000003
CR03	1980s	Other Fuel	Yes	1.0	0.0
CR03	1980s	Electricity	No	1.0	0.00706731745662861
CR03	1980s	Electricity	Yes	1.0	0.00030328254337139317
CR03	1980s	Fuel Oil	No	1.0	0.0
CR03	1980s	Fuel Oil	Yes	1.0	0.0
CR03	1980s	Natural Gas	No	1.0	0.0012527142635578008
CR03	1980s	Natural Gas	Yes	1.0	3.0924709530713274e-05
CR03	1980s	Propane	No	1.0	0.0012422400000000006
CR03	1980s	Propane	Yes	1.0	0.0
CR03	1990s	None	No	1.0	0.0
CR03	1990s	None	Yes	1.0	0.0
CR03	1990s	Other Fuel	No	1.0	0.00010352000000000004
CR03	1990s	Other Fuel	Yes	1.0	0.0
CR03	1990s	Electricity	No	1.0	0.007370597051761477
CR03	1990s	Electricity	Yes	1.0	0.0
CR03	1990s	Fuel Oil	No	1.0	0.0
CR03	1990s	Fuel Oil	Yes	1.0	0.0
CR03	1990s	Natural Gas	No	1.0	0.0012836400000000006
CR03	1990s	Natural Gas	Yes	1.0	0.0
CR03	1990s	Propane	No	1.0	0.0012422400000000006
CR03	1990s	Propane	Yes	1.0	0.0
CR03	2000s	None	No	1.0	0.0
CR03	2000s	None	Yes	1.0	0.0
CR03	2000s	Other Fuel	No	1.0	0.00010352000000000004
CR03	2000s	Other Fuel	Yes	1.0	0.0
CR03	2000s	Electricity	No	1.0	0.007370597051761475
CR03	2000s	Electricity	Yes	1.0	0.0
